date,symbol,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
2013-06-30,CDW,19.141184573002754,0.3216253443526171,-0.006198347107438017,-0.08333333333333333,1.2348484848484849,1.4393939393939394,16.59366391184573,1.4393939393939394,26.134297520661157,3136320000.0,6681420000,67.15888650963598,1.1284568056704927,-3484.8,-259.2,15.006315789473685,15.006315789473685,2.4039938113913575,32.09135446685879,-7423.8,-552.1834710743801,0.014890062238547086,-0.0038580246913580245,27.80622009569378,0.9652852753093597,17.027377521613833,1.5455992250207584,1.0412517780938833,-0.019271948608137045,,0.0,0.0,0,0.5998006810065609,-0.08035714285714286,248.15178571428572,4.875,0.0007555859389054798,3.2274254998178553,0.01599895088846633,0.019382418859467086,-30.303546831955924,788500000,-3402100000,-3577800000,,2196350000,1303000000,494850000,182.6116288274026,120.8983116380977,59.35150577823603,1.9987774181948939,3.019066147859922,6.149801849405549,0.22344497607655503,0.07713498622589532
2013-09-30,CDW,18.782295081967213,0.4721311475409836,1.0734426229508196,1.0045901639344261,2.296393442622951,4.3265573770491805,16.068196721311477,4.3265573770491805,22.72983606557377,3370250000.0,6430150000,46.80902777777778,1.1766400167580213,20.58796579108125,21.99902088772846,5.107987268869355,5.107987268869355,2.244928952972803,43.83197000681663,39.280085522296886,41.972258485639685,0.021363400341220976,0.04545656850382019,8.152470445589573,0.8907398820957806,20.85821404226312,1.5273638489809556,-0.42704626334519574,2.2736111111111112,,0.0,0.008379010578500856,0,0.5942240180168246,15.59047619047619,272.79047619047617,5.123809523809523,0.01406975526306602,6.779439964693478,-0.005283666864804174,0.029382957884427033,-25.37016393442623,789200000,-2928600000,-3093300000,,2156400000,1253800000,482500000,167.01078797611981,102.04040068165759,53.67513196724718,2.185487562948268,3.577014570324115,6.800169587337479,0.10912397696271597,0.06885245901639345
2013-12-31,CDW,17.326309067688378,0.3831417624521073,-0.028735632183908046,-0.13473818646232438,1.2011494252873562,4.544699872286079,15.17432950191571,4.544699872286079,21.090038314176244,3691062000.0,6754162000,61.5177,1.3603589724689493,-820.236,-174.93184834123224,5.1862610650555006,5.1862610650555006,2.4892794751778275,34.530480572597135,-1500.924888888889,-320.1024644549763,0.016255484193979944,-0.005716511941549614,7.324574961360123,0.8798737467508355,15.66002044989775,1.5781405960359334,1.603883495145631,-0.075,0.0019777505769342264,0.12166666666666667,0.0,0,0.598909631029943,-0.2710843373493976,163.45180722891567,3.2289156626506026,0.0008476762613791324,6.259268900988357,0.01826625386996904,0.025249337204898373,-23.91794380587484,810900000,-2836600000,-2999400000,,2226600000,1248900000,496600000,195.1922013783953,106.80883002207504,61.55849889624724,1.8699517574086837,3.4173204586602295,5.929319371727749,0.08430518476886328,0.10600255427841634
2014-03-31,CDW,15.638561320754716,0.3001179245283019,1.4522405660377358,1.3974056603773586,1.8083726415094339,4.4504716981132075,14.191037735849056,4.4504716981132075,19.00058962264151,4781024000.0,7646724000,93.92974459724951,1.8025954831655546,19.411384490458794,20.173097046413503,6.334160042395337,6.334160042395337,2.883053953172718,40.37341077085533,31.04638246041413,32.2646582278481,0.010646254860883358,0.04957097057032134,6.83320084790673,0.872338266384778,15.130411826821542,1.5847021501586183,1.6127744510978044,4.8388998035363455,0.0015268695576512478,0.14341846758349705,0.09802812653168948,0,0.5929302325581395,26.483870967741936,285.19354838709677,5.763440860215054,0.0012442031444406742,5.482015359994705,0.01797952825990209,0.02114841283031411,-21.553950471698112,829400000,-2750900000,-2909800000,,2168600000,1259350000,499800000,183.71790521434227,112.05177136186072,63.65497732477212,1.986741573033708,3.257422846277607,5.734037075180226,0.0674350821409645,0.05483490566037736
2014-06-30,CDW,18.28134196586227,0.5097115950559152,-0.41436138905238373,-0.48322542672160096,1.3396115361977634,4.972336668628605,15.174808711006474,4.972336668628605,18.68452030606239,5314472000.0,8212872000,61.36803695150116,1.7110341274951708,-75.4896590909091,-64.73169305724726,6.290804924242424,6.290804924242424,2.644195750160979,33.965558312655084,-116.66011363636363,-100.03498172959804,0.016295127719178876,-0.015448383207212306,6.155894886363637,0.8602550741898665,11.986765922249793,1.5792467634366418,2.8288659793814435,-0.812933025404157,0.0013736077638568799,0.08429561200923788,0.0,0,0.5735199245695003,-6.017094017094017,265.47008547008545,4.581196581196581,0.0013844172569220862,7.55150959919527,0.03038154077813946,0.03358932588627725,-21.209682165979988,885900000,-2622300000,-2785200000,,2264150000,1322450000,530400000,179.33886027044431,113.30094668659692,62.896784331761914,2.035253259943647,3.221508828250401,5.803158362989324,0.1025094696969697,0.06886403766921718
2014-09-30,CDW,19.189776733254995,0.32667450058754405,1.0258519388954173,0.9471210340775558,2.1022326674500587,5.2526439482961225,15.756756756756756,5.2526439482961225,17.997062279670974,5128126000.0,7932026000,92.2324820143885,1.5701068552708122,29.37071019473081,31.812196029776675,5.736158836689038,5.736158836689038,2.4285925109457764,33.299857262804366,45.429702176403204,49.20611662531017,0.010842167294641356,0.03143448503410408,5.831543624161074,0.8536201984477847,11.77120067170445,1.647158942131448,-0.9087221095334685,3.1402877697841727,0.0014235219649439191,0.13129496402877697,0.2510639600747068,0,0.5608933425025379,13.029850746268657,243.73880597014926,3.9925373134328357,0.0011940846881601911,6.213522259388066,0.01956417310799598,0.020732343948094565,-20.79289071680376,988600000,-2531600000,-2697200000,,2237700000,1306450000,517350000,164.6361103456722,102.91920400173989,56.030701754385966,2.2170105891935923,3.5464712688006172,6.514285714285714,0.0621923937360179,0.07873090481786134
2014-12-31,CDW,17.878663540445487,0.30363423212192264,0.49531066822977726,0.3745603751465416,2.019343493552169,5.489449003516999,15.905627198124268,5.489449003516999,18.69871043376319,5844756000.0,8690256000,112.8331274131274,1.916250614733943,69.16871005917159,91.46723004694836,6.241063534436733,6.241063534436733,2.84917084685748,39.8818540614961,102.84326627218935,135.99774647887324,0.008862645420955127,0.01093287726639059,5.51350774159103,0.8464728929982459,13.058742542450666,1.6712534059945503,,1.6312741312741312,0.002001794429057432,0.22586872586872586,0.0,0,0.5551566419121625,4.101941747572815,148.0631067961165,2.6019417475728157,0.0016065047047637783,6.12394107103384,0.01729311945421965,0.019089736502671827,-19.890533411488864,985400000,-2449900000,-2710000000,,2281650000,1269500000,474350000,186.81403888397102,100.44562583066218,48.15397545148933,1.9538146178976363,3.633806818181818,7.579851851851852,0.055312333155365725,0.12075029308323564
2015-03-31,CDW,16.00929692039512,0.3178384660081348,1.033120278907612,0.9750145264381174,2.599651365485183,5.668216153399187,15.947704822777455,5.668216153399187,18.62986635676932,6594872000.0,9353672000,120.56438756855576,2.393609175377468,37.09151856017998,39.30197854588796,6.760504356740133,6.760504356740133,3.3949157955865275,45.49451361867704,52.607829021372325,55.742979737783074,0.008294323225682014,0.025444011650264022,5.241517170681702,0.8397825444272904,13.418287937743191,1.7437570145903478,,3.250457038391225,0.0017741056990946903,0.21389396709323583,0.0,0,0.5492231383240811,17.78,275.52,5.4,0.0017058652729384437,6.366748413591971,0.018657516620201587,0.01993004445092181,-19.25929692039512,1060300000,-2368500000,-2627200000,,2225550000,1265050000,484100000,191.945593786295,110.37173184843607,56.686387958411274,1.9015805093519222,3.307006186160265,6.438935574229692,0.056073808303434135,0.05810575246949448
2015-06-30,CDW,19.312354312354312,0.6305361305361306,-0.4586247086247086,-0.5337995337995338,1.9562937062937062,5.803030303030303,17.16899766899767,5.803030303030303,18.47086247086247,6081504000.0,8915404000,56.20613678373382,1.8350947495473746,-77.27451080050825,-66.39196506550218,6.107154046997389,6.107154046997389,2.690224502112251,34.27683198769704,-113.28340533672173,-97.32973799126637,0.01779165153882987,-0.015062063594794972,5.277565776260293,0.8407025851036601,10.895424836601308,1.6697834645669292,,-0.7273567467652495,0.001890979599783212,0.10628465804066543,0.0,0,0.5286984898899412,-6.10077519379845,256.8992248062016,4.2015503875969,0.002263126131563066,9.073475416552045,0.03720598408855067,0.03672527323331749,-19.360285547785548,1088800000,-2309200000,-2541000000,,2357350000,1344450000,523700000,188.61270368135186,112.1329375787012,57.281165677280086,1.9351824817518248,3.2550649959011593,6.372077028885832,0.10865635669813216,0.07517482517482517
2015-09-30,CDW,20.486249268578117,0.8829724985371562,1.1456992393212404,1.0228203627852546,0.5705090696313634,6.294324166179052,16.96138092451726,6.294324166179052,19.121123464014044,7637521000.0,10807821000,50.61312789927104,2.181463254405758,39.00674668028601,43.6929118993135,7.100047410988193,7.100047410988193,3.086978663848505,40.61563697857948,55.19826864147089,61.82963958810068,0.019757719815107547,0.02288700744652617,5.267081900158036,0.8404361047244678,11.913942127019917,1.4610289011165127,,1.2975480450629555,0.0014926309204256198,0.07554671968190854,0.0,0,0.5700215085663428,9.323809523809524,166.71904761904761,2.9285714285714284,0.0022278712404672817,11.182512711878006,0.050558567438804006,0.05205781902232035,-23.215915740198948,863000000,-2767100000,-2930900000,,2431100000,1423850000,511300000,193.9104852760561,125.98776372746174,51.18136269129827,1.8823118279569893,2.8971067443467957,7.13150218765192,0.14028074742028446,0.12287887653598596
