date,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,niperEBT,ebtperEBIT,ebitperRevenue,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio
2009,1.6236,0.0,5.052,9.4948,,7.3587,15.8411,0,0,0,,2.8242614029532,0,0.68705010994098,0.88186667392399,0.41510648933977,0.7240512549672,1,0.41510648933977,0.2515074575017,0.31294989005902,1.6576,0.1879,0.1211,0.68705010994098,0.88186667392399,0.41510648933977,,,13.006391654116,0.29273239110575,1.083,0.98565821020699,0.47602270991236,0.0,168.5055,,180.9965,,0.2906,0.7416,0.4096371137975,0.42581274224806,8.465,0.50857485827092,2.5515189358062,5.2893,5.003,4.5169,0.0,0.50495236857936,0.9458750489401,0.50857485827092,7.9037177843597,18.475767283249,18.475767283249,-0
2010,3.4269731821485916,3.4269731821485916,4.944430628963146,19.88115155798176,1.6675737902776335,16.685439040611072,15.34898020464384,15.34898020464384,1.9286014274370427,4.944430628963146,,12.16990747111515,3.4269731821485916,0.7132205182443152,0.8804972877331037,0.3960252719314219,0.7263121742758292,0.3960252719314219,0.34869917780938176,0.24869940830857387,0.2867794817556848,0.0727004186998608,0.17237297206623586,0.1679498258057705,0.7132205182443152,0.8804972877331037,0.3960252719314219,0.6683985949426944,0.0,16.177231710045493,0.29232244336366786,1.3423410724276872,1.2606381825200272,0.3841608077688768,218.88086879755488,0.0,218.88086879755488,546.081339430843,-327.2004706332881,0.5782377142518317,1.371003842190608,0.3339175368532393,3.137960001420695E8,8.368010909799338,0.2977229007292086,2.371003842190608,1.7753622479593465,1.63316050202069,4.079630132166322,-0.0,0.32213414591981854,0.9199026868448356,0.2977229007292086,0.8980702622464126,-12.484813292835447,12.484813292835,-0
2011,0.002822317594979764,0.002822317594979764,0.0044075630640253586,0.015543693623375302,1.0784572563621986,0.008603980523798611,0.008190004827894502,0.008190004827894502,1.5440584004597545E-6,0.0044075630640253586,,1.0497328816593972,0.002822317594979764,0.6986774280741854,0.9317071231012575,0.4356003087043463,0.0,0.4356003087043463,0.4058519104449461,0.2835595689686696,0.3013225719258146,0.06338374147985883,0.18157316165415388,0.1881812021667103,0.6986774280741854,0.9317071231012575,0.4356003087043463,0.0,0.0,15.877979464613128,0.2235288398497392,1.0010501476714446,0.6837103197066718,0.25420972821857335,338.4464222821411,338.4464,,336.4029,,0.650918996494718,1.86466461926757,0.2554710904561574,2.784290002043997E8,,0.5007350979265045,2.86466461926757,3468.8624240168715,3301.9600545837984,3537.513956084853,0.0,0.5381636710412613,0.9518855610192222,0.5007350979265045,0.9986607142857142,20.783781774936823,20.783781774937,-0
2012,0.004735301885925267,0.004735301885925267,0.006115922400902289,0.020015000254395256,1.3465527052513984,0.037191751024933606,0.031944655544072054,0.031944655544072054,2.0552617136751454E-6,0.006115922400902289,,1.3367197478804342,0.004735301885925267,0.6956433604684835,0.9564888221390585,0.4592401213227916,0.993357209688863,0.4592401213227916,0.4392580427230352,0.30556694095266096,0.3043566395315165,0.07943031812687601,0.23658765054901282,0.20569645895794506,0.6956433604684835,0.9564888221390585,0.4592401213227916,0.011227661134853765,0.0,15.654792459509691,0.25994408256088647,1.0465163514623252,0.7187210542258861,0.2483308848892772,271.06254257745917,0.0,271.06254257745917,32508.996808510637,-32237.934265933178,0.6642668459551705,1.9785559988706771,0.34682163971125896,4.852170001756E8,24.961819159560573,0.17295334498612772,2.9785559988706773,1625.624039938556,1396.277361751152,3546.2029569892475,0.0,0.1914536969248121,0.8589177617008711,0.17295334498612772,0.4545637583892617,7.088064465491079,7.0880644654911,-0
2013,8.068218970602777,8.068218970602777,11.211267009320006,35.27580254550951,1.561296657719268,28.278391377852916,26.713872260005058,26.713872260005058,3.5556058692601806,11.211267009320006,,21.326502273146467,8.068218970602777,0.7049624723405415,0.9594348504155652,0.46989011038114503,0.9896109234995325,0.46989011038114503,0.4508289477652873,0.3178174896193018,0.2950375276594585,0.0723509657993482,0.22871822576379158,0.20789023281835897,0.7049624723405415,0.9594348504155652,0.46989011038114503,0.019905736704894244,0.0,16.590759137074652,0.22764941566310254,0.7090541244215249,0.48221225020928304,0.17712051665411144,233.78004314259508,0.0,233.78004314259508,18336.42258064516,-18102.642537502565,0.6836676851714102,2.1612325175879277,0.2763149627188696,4.749390001687758E8,,0.45596215253799127,3.1612325175879277,4.593119215580796,4.339002115095424,4.244165148606849,0.0,0.4196795919438856,0.944674394772216,0.45596215253799127,1.0764613180515759,18.074813567476546,18.074813567477,-0
2014,4.487903500624923,4.487903500624923,10.301747705083416,33.511197726107724,1.7800465125252858,21.256801006083293,20.310903516818062,20.310903516818062,3.481975172212141,10.301747705083416,-0,21.690898239410682,4.487903500624923,0.7188069629568977,0.907142819246298,0.4714471523024204,0.9874102668856669,0.4714471523024204,0.4276698988652565,0.30741210115141865,0.2811930370431023,0.04250466827736358,0.13392250367489886,0.09786430612708312,0.7188069629568977,0.907142819246298,0.4714471523024204,0.021069493048462624,0.0,16.304256215760642,0.1382660868526692,0.7378777595112646,0.3973136947985547,0.16469862439576086,205.05082166768108,0.0,205.05082166768108,17323.625165562913,-17118.57434389523,0.6826174308946239,2.1507716470339107,0.44065691606614266,2.1689530001205983E9,,0.21390437886983366,3.1507716470339107,7.214843981640713,6.893793659641591,5.658040490055386,0.0,0.5072028281042863,0.9555014186285823,0.21390437886983366,0.9012355555555556,22.472626523827113,22.472626523827,-0
2015,4.990945475463835,4.990945475463835,8.294615409912119,38.97186021615149,2.6650823063945137,19.81820107505307,18.71840679102658,18.71840679102658,4.419448704003545,8.294615409912119,-0,18.83895611352077,4.990945475463835,0.6761721927448303,0.8029613472871794,0.39200641272208897,0.9506126439852837,0.39200641272208897,0.31476599730454263,0.21283601459892593,0.32382780725516974,0.04592461505945107,0.12806536428546947,0.1182764167774215,0.6761721927448303,0.8029613472871794,0.39200641272208897,0.12561087811114696,0.0,21.08550024764735,0.21577464296159032,0.865281952437277,0.4831387251275678,0.19890917389116916,136.95637058721627,0.0,136.95637058721627,2905.7992865636147,-2768.842915976398,0.6413970684760566,1.7885996239638422,0.4214312612466375,2.0614150001115255E9,,0.2820437203200251,2.7885996239638424,8.199950012496876,7.744900731338904,4.85913304282625,0.0,0.4431261432938019,0.9445058469302291,0.2820437203200251,1.2289641693811075,18.019916417910448,18.01991641791,-0
2016,4.367678216027169,4.367678216027169,7.3544893712743225,29.775712258364006,1.523737343064819,20.822483795820382,19.081819816067725,19.081819816067725,3.397657902861467,7.3544893712743225,-0,16.69140973125327,4.367678216027169,0.7036422939748243,0.8525047304724638,0.4117576080535242,0.9499876060988913,0.4117576080535242,0.351025308673656,0.24699625343835208,0.2963577060251758,0.04699258273731937,0.14668593577640743,0.11913170291864007,0.7036422939748243,0.8525047304724638,0.4117576080535242,0.07955311299321192,0.0,12.8525936114074,0.190256257263628,0.7668231645126471,0.508757650202438,0.14410563543929925,239.54259680073557,0.0,239.54259680073557,4588.129694323145,-4348.587097522409,0.6796381160294065,2.1214699689173737,0.44984529319370326,2.521727000095372E9,,0.22678249650547574,3.1214699689173737,7.623486722032031,6.986198256962968,5.129950214369796,0.0,0.3854186572436619,0.916404594340371,0.22678249650547574,1.1944365482233503,11.962379895273763,12.001457355408,-0
2017,4.482434311558587,4.482434311558587,7.325845733657311,22.263939962172387,1.5841694184059139,27.2109511748097,24.388349012835143,24.388349012835143,2.5002256175579864,7.325845733657311,-0,16.688792865100503,4.482434311558587,0.8283440951666872,1.011122929302073,0.39286289006898306,0.9569689420672156,0.39286289006898306,0.3972326762206284,0.3290453417546181,0.1716559048333128,0.06539817300370133,0.20133158457912126,0.12235601507824397,0.8283440951666872,1.011122929302073,0.39286289006898306,0.06734784466024821,0.0,12.493477065595895,0.19875125007079206,0.8667315996915641,0.5697973044574267,0.22307277593809013,230.40464975474967,0.0,230.40464975474967,5419.6240702479345,-5189.219420493185,0.6751718159849851,2.078550597548444,0.44114135687300055,2.9021040001097484E9,,0.18198332177068027,3.078550597548444,7.415016076111885,6.645853679948205,10.025293814263296,0.0,0.30038301197845957,0.8962696252754457,0.18198332177068027,0.83319728729963,9.64037778380152,9.7022241878647,-0
2018,5.2120544401798705,5.2120544401798705,7.153999273472031,21.453560949520817,1.7067375501029236,21.179204253067233,19.271138898051987,19.271138898051987,2.346325843264705,7.153999273472031,-0,14.601440408935467,5.2120544401798705,0.7409957767378154,1.0040588687244316,0.4482028295141303,0.9655227960478193,0.4482028295141303,0.4500220259610469,0.33346442067613125,0.2590042232621847,0.07243781888594818,0.24294588914369883,0.16261444308737513,0.7409957767378154,1.0040588687244316,0.4482028295141303,0.07506829067086357,0.0,13.06916719029436,0.21722802912248781,0.8622474619111485,0.5465725428361237,0.22938735049929782,213.85830526667027,0.0,213.85830526667027,4862.239392133492,-4648.381086866822,0.7018355851121141,2.3538542833020974,0.45140525482741467,2.7484310001270323E9,,0.24856215457110067,3.3538542833020974,10.178952112676056,9.261915492957746,11.618535211267606,0.0,0.371228670568878,0.9099085436725549,0.24856215457110067,1.0196185101580135,11.099831668448278,11.099831668448,-0
