date,symbol,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
2002-06-30,AKAM,0.6690726573130401,-0.9128346534742685,0.6785614518846926,1.201859911870455,0.7942562605318411,-0.6370017932289836,2.706333973128599,-0.6370017932289836,0.3036324150919593,124289760.00000001,62536760.000000015,-1.2269472852912144,1.673958706514566,1.650550582985844,0.9318889738629719,-1.7582368086009337,-1.7582368086009337,0.8422572694581747,-0.1703901411635847,0.8304794029375052,0.46888269077931244,-0.8150309406020254,1.0730892070271918,-5.416494553685104,1.2264239178480598,0.1682546775252642,2.4387439067086802,-13.82975229232243,-0.7433563672260612,,0,0.4032242858489677,0.12785357378550552,0.03802666222509785,-1.2967006474721037,-1.2785679845708775,4.79337718694035,-0.2752899028943151,3.6170760984053136,-0.4247037068168446,-0.3372956414610595,-1.9751561190559865,106844000,-82562000,-201786000,,284487500,80560500,,83.72745760885668,364.78614566432304,0,4.35938233912635,1.000586245772266,,1.4330173999151223,-0.5232984599857623
2002-09-30,AKAM,0.31566219906126747,-0.4241518390948191,-0.10173469205646672,-0.16285046311994716,1.1019756215087537,-1.0066478682205129,2.2909981617975124,-1.0066478682205129,0.26938589759605946,103100720.0,5845720.0,-2.169034565459786,2.9145079858657246,-9.04312955003947,-5.649354520547945,-0.9139243513487161,-0.9139243513487161,0.16525003533568905,-0.3425360365639283,-0.512737479168494,-0.32031342465753426,-0.4610346077117599,-0.17701137295646432,-3.361330012144206,1.4234901495585321,5.698757763975156,2.248867775577192,-12.00253164556962,0.23985441693139503,,0,0.4418939929328622,0.13625441696113075,0.036192113640458885,-1.6646225726383415,5.1649875894291135,3.6622864651773983,0.1304876325088339,3.0994934673424814,-0.2441536504601377,-0.18513844583883493,-2.054510288579944,90172000,-122452000,-216820000,,284001000,82176000,,165.69710247349823,920.7814516929799,0,2.20281462108475,0.3964024246241045,,0.4213507548022799,0.06111577106348045
2002-12-31,AKAM,0.31349874962311336,-0.493091889399287,-0.09201355018356597,-0.03830941950587943,0.9866626465423975,-1.4906088714683503,1.972695670680879,-1.4906088714683503,0.4023287161023713,156744740.0,83751740.0,-2.8189471980433063,4.433829486309119,-15.10647070161912,-36.28350462962963,-0.9325048485930156,-0.9325048485930156,2.369080674360715,-2.224186429425043,-8.071678874325366,-19.386976851851852,-0.35474236647430724,-0.027560733457467217,-2.367499553810459,1.7312616645567143,1.938467666976497,1.7470375713633954,-7.814225352112676,0.18660528019566938,,0,0.5429395790902919,0.21082258429508938,0.03223659310110805,1.7133421400264202,-5.837516512549538,-2.3236459709379127,0.15733197556008147,4.066652278929503,-0.37294641176628757,-0.24995841818271725,-2.401517301314226,60584000,-175500000,-256270000,,284116500,77896500,,168.1899185336049,115.92336695258743,0,2.1701657458563535,3.148631803881997,,0.33079897673865194,-0.053704130677686535
2003-03-31,AKAM,0.314129108747573,-0.07428821801061875,-0.11169435900960498,-0.13061220983178404,0.8473685114864516,-1.4910307737246344,1.6693757624701455,-1.4910307737246344,0.27381054657296516,281683160.0,210694160.0,-32.57582514166763,7.703838748495787,-21.6662687485578,-18.52812997434717,-1.6230382649680501,-1.6230382649680501,5.76233891259162,15.652192259118936,-16.20599646181063,-13.85872262053542,-0.030697610748189566,-0.05397198753379506,-2.149643048521201,1.869835207794551,-5.273679518609316,2.0361498586951594,-2.0279091769157995,1.5035272348791489,,0,0.30327644677825183,0.09495678809758232,0.02612217076642409,-5.904178019981835,16.60490463215259,8.079927338782925,0.08125478612843234,1.578681548485139,-0.06429455213527802,-0.04450059697805591,-2.1535614873107787,68561000,-178765000,-238347000,,286422000,77080500,,208.64415818838202,310.51020408163265,0,1.7493899813406057,1.1754847190272757,,0.049823396887406154,0.018917850822179075
2003-06-30,AKAM,0.3234064785788924,-0.12544323963204687,-0.1194049026157562,-0.13531013926717714,0.7770097812494647,0.0,1.4716497935830892,0.0,0.3054370728197749,595445400.0,536119400.0,-40.65583777140516,15.76962843295638,-42.71181407359587,-37.691188758070645,,,14.198453348870467,153.65990255087416,-38.456308729646366,-33.93590327889606,-0.024596713653342525,-0.026531399856309243,,2.0210539992430276,-17.003725995987388,2.375156114900567,-3.402764761012184,0.951863990167964,,0,0.31910273047485366,0.07457824624592813,0.029375045898509217,-7.5072697899838445,20.333333333333332,7.401184706515886,0.08654890224847056,0.0,-0.11620631161182947,-0.08523987172697167,-2.273515254295356,71570000,-185948000,-234154000,,,76288000,,0.0,314.2338302172814,0,,1.1615553925165076,,,0.015905236651420938
2003-09-30,AKAM,0.3558636084793129,-0.03330550064753596,0.005197328062163452,-0.012780314906959307,0.7148115329561721,-1.555577329425397,1.40770056574194,-1.555577329425397,0.27587587758162363,938944000.0,883084000.0,-240.2005628037861,22.48052290085474,1539.2524590163935,-625.9626666666667,-5.142785156784883,-5.142785156784883,21.143103406995955,86.77252628475975,1447.6786885245901,-588.7226666666667,-0.004163187580941995,-0.0015975393633699134,-1.9333534164042174,2.071405517378981,-5.48884740100226,2.476216604060271,-0.8811881188118812,-0.15605014070094653,,0,0.28220844207149187,0.09035841693202767,0.030444758724700278,0.2890995260663507,19.79478672985782,5.354502369668246,0.04922546508008715,1.0796799708388458,-0.031108509929199078,-0.023659506473226444,-2.112562623543044,69952000,-187763000,-235644000,,288646000,76140000,,221.52381066392127,340.93940455341505,0,1.6476784094047103,1.0705714714264287,,0.02141037929617965,0.01797764296912276
2003-12-31,AKAM,0.38254499258945585,-0.017607452890112216,0.07055684946008893,0.11076011009951302,1.3556976497988567,-1.4851069235655303,2.318568706330722,-1.4851069235655303,0.3110057167054838,1529071250.0,1400234250.0,-735.4840067340067,33.85222719121521,183.53994118353137,116.91934928888209,-8.719910866019594,-8.719910866019594,30.999894839380993,122.10990232842069,168.0751710478934,107.0679194066371,-0.0013596488718233372,0.00855290425478865,-2.590730750367827,1.6286418991829814,-11.235458271561873,3.2303862112990744,-0.3150410209662716,-4.007215007215007,,0,0.2802364453496867,0.06440257698864266,0.018555895332704766,-1.7550031598904572,-9.515272803876133,-1.4567095007373079,0.03360711992738383,0.7670406634285043,-0.007989606114268013,-0.007594104432633828,-2.318575058225704,139756000,-180530000,-251879000,,286335000,75357500,,167.48998206734706,327.3401661205517,0,2.179234814493173,1.1150480074772708,,0.0118560169713836,-0.040203260639424095
2004-03-31,AKAM,0.3961131494463736,0.023922230229967895,0.07072659372338334,0.04581340496625827,1.0880315141191115,-1.390085500884492,1.9655293847867392,-1.390085500884492,0.2573871453842626,1445711360.0,1340530360.0,494.93713111947966,29.890449273264828,167.40520611394163,258.4396424740794,-8.51746169028191,-8.51746169028191,27.71580540451134,91.397720051817,155.22584066697544,239.63717554522702,0.002020458634287829,0.0038693754194474893,-2.444386838306772,1.6923353034511732,-7.171268834799209,3.755599188711,0.8000532481363152,2.9565217391304346,,0,0.289660305580251,0.05569913370686625,0.02106353732006869,2.838921761998685,15.89973701512163,2.135765943458251,0.011019910269398556,0.8649935094026594,0.015114401685972528,0.012170884045350189,-2.09799228526502,127711000,-174899000,-240841000,,288224000,75891500,,184.92618934397422,383.58616455178054,0,1.9737604570495817,0.9515463114434837,,-0.01720917901434589,0.024913188757125074
2004-06-30,AKAM,0.4133143438453713,0.055365208545269586,0.10155035605289929,0.09409562563580876,0.35875483214649034,-1.275296032553408,1.5077924720244151,-1.275296032553408,0.25131230925737535,1834523750.0,1818826750.0,269.6639350286638,36.12262729886189,147.0206563551851,158.66837484864212,-11.707085742364487,-11.707085742364487,35.81354605599969,101.30482065277933,145.76268232088475,157.31073776163294,0.0037083193935210706,0.0063024531571204785,-2.2151855113527588,1.82291962063207,-0.8742898518436003,2.1672348484848483,2.898997995991984,1.8341907981772747,,0,0.26918835899657384,0.05655101799708581,0.027055697345894907,13.62227074235808,55.443231441048034,5.664847161572053,0.005395187650139802,1.2604198479013542,0.05061510685644707,0.03671938252280456,-2.116441505595117,55467000,-161854000,-244137000,,289047000,76393000,,187.94776119402985,453.0176665769886,0,1.9420289855072463,0.8057080924855491,,-0.04341361310002425,0.007454730417090539
2004-09-30,AKAM,0.43045827981484625,0.0908723715354353,0.11752255854720532,0.08976564961345515,0.3711396004491514,-1.1601273134123387,1.485164271461923,-1.1601273134123387,0.2822544814159578,1714477650.0,1701434650.0,152.41156102764688,32.17501125999324,117.84971473742095,154.29064524838012,-11.9383449039419,-11.9383449039419,31.930237773524002,94.8720112635218,116.95316538355787,153.11686915046795,0.006561182060320239,0.006481274340321671,-2.315964654518108,1.7598988290199855,-0.7272777963644474,2.371157046509591,5.549019607843137,1.293270512934483,,0,0.24330968734752093,0.060466163720301766,0.027197637932767863,4.233993015133876,15.508149010477299,1.300640279394645,0.004672897196261682,1.5401393461918567,0.07898464265031155,0.061186747676056724,-1.927733885886468,62618000,-148751000,-224312000,,290234000,74231500,,195.39137859850615,299.1736284557747,0,1.868045574057844,1.2200273195334663,,-0.07832965441365912,0.02775690893375017
