date,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,niperEBT,ebtperEBIT,ebitperRevenue,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio
2010,0.00381279154565989,0.00381279154565989,0.003054799721624737,-0.14946421021665907,8.871395311004019,0.020831237067118757,0.020831237067118757,0.020831237067118757,-2.6958202778342696E-5,0.003054799721624737,,-3.9721996412161404,0.00381279154565989,,-0.0,-0.02974496797632307,0.3538080443235947,-0.02974496797632307,0.0,-0.020438335820974044,,-0.018959440790335975,-0.025509729320035722,-0.03531807505871771,,-0.0,-0.02974496797632307,6.239052381961356,6.50042640183383,5.816907344130886,0.9276411228589164,3.1627990586171464,2.681347513571263,0.5701600503838711,41.143471483821315,56.15016268733235,97.29363417115366,58.50247403841412,-17.359002554592806,0.2567760891353344,0.34548954276323196,0.009090604887733817,2.445000000900871E7,-29.802710843373493,9.97560327198364,1.3454895427632318,887.6093119397933,887.6093119397933,3144.6665963091414,-0.0,0.14664514218632804,1.0,9.97560327198364,19.95120654396728,6.2860916740764,6.2860916740764,
2011,0.002784168347759615,0.002784168347759615,0.002499845709194428,0.034990581719640056,10.159443186053846,0.013107080676593712,0.013107080676593712,0.013107080676593712,6.605112511242996E-6,0.002499845709194428,,-1.3771757304578802,0.002784168347759615,0.9335359130284067,1.060301782621106,0.07217744769084491,0.39767629636591106,0.07217744769084491,0.0765298764516445,0.0714433880872371,0.06646408697159337,0.0563141594475586,0.07956907861857222,0.07198941384307221,0.9335359130284067,1.060301782621106,0.07217744769084491,7.4587052401288885,6.176742638014615,6.228822006233552,0.7882347261974094,3.42315860491661,3.0119732847344065,0.7058170199494633,35.92716582155268,59.0926352918796,95.01980111343228,48.93610730670095,-13.00894148514827,0.2922607572533294,0.4129497696342122,0.007297999189353889,2.3389000007245123E7,,14.446898114498268,1.4129497696342121,1174.937454035888,1174.937454035888,4330.081001152688,0.0,0.19072482811970393,1.0,14.446898114498268,28.893796228996536,6.9036367351108,6.9036367351108,-0
2012,2.0181115674849557,2.0181115674849557,2.0927163707218486,14.397999552565006,11.893539356761854,10.85969042899921,9.202528014994126,9.202528014994126,2.8524105145742222,2.0927163707218486,,9.080937520527764,2.0181115674849557,0.875932323981453,1.0232870943808334,0.16215866711022955,0.5143954496451913,0.16215866711022955,0.16593487129589563,0.14534771744377714,0.12406767601854699,0.10464569322706868,0.14016610850119304,0.1402343082477282,0.875932323981453,1.0232870943808334,0.16215866711022955,5.794017405214402,5.705054702216006,7.138242940193404,0.7199679160255634,4.199499332227907,3.7267478746351985,0.7181786704345787,30.688930271415455,63.97835236500425,94.6672826364197,62.99601372814543,-32.30708345672997,0.25341657590373945,0.33943504198542884,0.0051447471577185724,2.1439000005118415E7,209.873421819359,21.20332105042213,1.3394350419854288,1.506107884422327,1.276279475056573,5.184455790314191,0.0,0.227406682958431,0.8474024259862993,21.20332105042213,42.40664210084426,6.553184128013839,6.5531841280138,-0
2013,1.5522538151166299,1.5522538151166299,1.7508275743961847,13.321494802110442,9.422432922694892,9.092544274738769,9.092544274738767,9.092544274738767,2.7076867236042816,1.7508275743961847,0.006253952923664944,7.774994339454346,1.5522538151166299,0.8497022078759711,1.0212884445397454,0.15145208390622872,0.5201542746426009,0.15145208390622872,0.15467626319489533,0.13142876234270737,0.15029779212402894,0.0877284008954742,0.1165224952736322,0.1192487815538642,0.8497022078759711,1.0212884445397454,0.15145208390622872,5.762218456462455,4.8936967161163345,7.428974353633814,0.6674977328533143,4.891564734696888,4.2839955624893085,0.7506338203463758,38.737341299704056,74.58574185808271,113.32308315778677,63.34365882824947,-24.60631752854541,0.2471118929485695,0.32821861659675416,0.003919779660432942,1.8998000003904477E7,196.79386763812994,21.691020107379725,1.3282186165967542,1.3307606357899904,1.3307606357899904,6.019277470274041,0.08331200136524596,0.19255639802166227,1.0,21.691020107379725,43.38204021475945,4.4960803888516,3.5806321277289,0.08331200136524596
2014,2.079076797000627,2.079076797000627,2.2433003063802337,21.057736948567012,9.68709790152384,11.09410052853034,11.09410052853034,11.09410052853034,4.0629130777498865,2.2433003063802337,0.019571744127857237,11.012002675766073,2.079076797000627,0.8622960329561355,1.028267305084165,0.12014710318868849,0.5490736198725377,0.12014710318868849,0.1235433380095018,0.10653093026375236,0.13770396704386442,0.060680793292523655,0.09873220479858397,0.07869875938045465,0.8622960329561355,1.028267305084165,0.12014710318868849,5.741216618216905,4.802906399494539,7.087486700758486,0.5696072787714177,5.948952718996167,5.392055598331458,1.2179713081811028,37.678983294117764,75.99565130780246,113.67463460192022,63.57537509416618,-25.89639180004842,0.38540020030633465,0.6270750502984698,0.003911577778483104,1.7500000003896337E7,47.51766733697213,23.861314285714286,1.6270750502984697,1.420574832495029,1.420574832495029,7.946701185419796,0.41213663946907886,0.2022065962545779,1.0,23.861314285714286,47.72262857142857,3.6304347826087,2.0316301703163,0.4121366394690788
2015,2.5740820605425734,2.5740820605425734,2.429185347795058,18.03438416903615,9.884166566378893,12.556918090312436,12.556918090312438,12.556918090312438,3.26902954704886,2.429185347795058,0.016395350906608465,10.82709951831084,2.5740820605425734,0.8353960330455887,0.9945282474449564,0.16212493113862694,0.5552650033418726,0.16212493113862694,0.1612378236324329,0.13469743823943872,0.1646039669544113,0.08756489044859254,0.14273190791632923,0.1203724526742262,0.8353960330455887,0.9945282474449564,0.16212493113862694,7.10050030181807,4.311576270519556,8.400606874078115,0.650085789255597,6.376234054663349,5.688398825932167,0.5542827807104673,36.92774677043098,84.65581427741195,121.58356104784292,51.404828460685,-14.477081690254025,0.38650795237793706,0.6300129787762829,0.0031782003344714023,1.4086000003168132E7,16.452192573645764,32.147380377679966,1.630012978776283,1.6397335597725227,1.6397335597725227,8.370776670728329,0.29568005683593224,0.19345394549233827,1.0,32.147380377679966,64.29476075535993,8.970297029703,3.1567944250871,0.29568005683593224
2016,3.93307451331394,3.93307451331394,3.508365269461078,28.62688925081433,9.92079207920792,14.959072340425532,14.95907234042553,14.95907234042553,5.101542784112958,3.508365269461078,0.012118170941308798,18.911521068859198,3.93307451331394,0.8263795423956931,0.9946452476572959,0.14910179640718563,0.5610778443113772,0.14910179640718563,0.14830339321357286,0.12255489021956088,0.17362045760430686,0.08331071913161466,0.13739091519355562,0.1488344291691572,0.8263795423956931,0.9946452476572959,0.14910179640718563,7.429054054054054,5.260765550239235,10.75107296137339,0.6797829036635007,2.5746490854955337,2.3572947681837517,0.2535091450446618,36.79141716566866,69.38153706230105,106.17295422796971,49.13142337426103,-12.34000620859237,0.39362279511533244,0.6491385097337212,0.0022326412145568207,1.0000000239429444E7,15.893617021276595,0.8274647887323944,1.6491385097337212,2.1639042357274403,2.1639042357274403,9.276243093922652,0.3469055374592834,0.2345309381237525,1.0,0.8274647887323944,0.8333333333333334,14.873417721519,4.0239726027397,0.3469055374592834
2017,10.02192641443943,10.02192641443943,8.356923299565846,34.661668667466984,8.365617433414043,34.537284688995214,34.537284688995214,34.537284688995214,6.154237856612943,8.356923299565846,0.0045197669670493405,26.459617893755826,10.02192641443943,0.8745406824146982,0.9850051706308169,0.27988422575976846,0.5879884225759768,0.27988422575976846,0.27568740955137483,0.2410998552821997,0.12545931758530185,0.16929173864444672,0.28913571676501215,0.24015894697628212,0.8745406824146982,0.9850051706308169,0.27988422575976846,5.870103092783505,3.5856423173803527,13.26295585412668,0.7021644141855502,4.774049217002237,4.263982102908278,0.9876957494407159,43.63096960926194,101.7948717948718,145.42584140413373,62.17948717948718,-18.548517570225243,0.41449039731734577,0.707913918778202,0.0010402219140083217,6000000.12126752,33.3448275862069,2.084788029925187,1.707913918778202,3.090573012939002,3.090573012939002,12.565619223659889,0.1566626650660264,0.24196816208393632,1.0,2.084788029925187,2.100502512562814,9.8934911242604,3.8883720930233,0.1566626650660264
2018,15.514188194351492,15.514188194351492,11.93190240889438,38.03954709550378,7.67905138339921,33.097230154197604,33.097230154197604,33.097230154197604,7.478073091633332,11.93190240889438,0.0029420265472600757,33.383499413833526,15.514188194351492,0.9533792240300375,0.9956386292834891,0.3304508956145769,0.5993411570928556,0.3304508956145769,0.3290096767551987,0.3136709903232448,0.046620775969962454,0.2710612934792278,0.4078436621603534,0.31819984139571766,0.9533792240300375,0.9956386292834891,0.3304508956145769,6.530201342281879,4.889447236180905,9.743229689067201,0.8641579930611155,8.026886383347788,7.261925411968777,3.470945359930616,47.5319127033148,74.65056526207606,122.18247796539086,55.894141829393625,-8.362229126078823,0.3353794146428254,0.5046178557087405,0.20991962774957698,1.9850000000015838E9,52.622950819672134,1.751,1.5046178557087404,5.846410684474123,5.846410684474123,11.86644407345576,0.11191335740072202,0.36051060325303685,1.0,1.751,233.46666666666667,5.9255499153976,3.7575107296137,0.11191335740072202
2019,8.698265895953758,8.698265895953758,6.935745988391942,19.62308621106013,8.22752808988764,21.70964467005076,21.70964467005076,21.70964467005076,3.9156010555709084,6.935745988391942,0.004565636875578396,20.28165272995573,8.698265895953758,1.0628850102669405,1.0241850683491063,0.3246841925571868,0.6120689655172413,0.3246841925571868,0.33253670194605667,0.35344827586206895,-0.06288501026694045,0.3115407764068613,0.44326696638835367,0.3179804396890412,1.0628850102669405,1.0241850683491063,0.3246841925571868,8.894324853228962,2.8857142857142857,8.344729344729345,0.8814324405657539,7.943566591422122,6.656132430398796,0.5884123401053424,44.36326391259816,126.48514851485149,170.84841242744966,41.03740374037404,3.325860172224118,0.29717123081552815,0.4228216655962321,0.17546337157987643,0.17546337157988,65.58620689655173,1.8827967806841,1.422821665596232,6.15625,6.15625,12.207236842105264,0.08959188601787008,0.31947763741891433,1.0,1.8827967806841,,6.2383333333333,3.8547888774459,0.08959188601787009
