formatted_date,open,high,low,close,adjclose,volume
2020-03-26,157.97999572753906,159.3699951171875,150.22000122070312,159.2899932861328,159.2899932861328,1547900
2020-03-25,143.6300048828125,159.99000549316406,138.5800018310547,154.55999755859375,154.55999755859375,2009500
2020-03-24,129.49000549316406,146.27999877929688,129.49000549316406,141.89999389648438,141.89999389648438,2545600
2020-03-23,122.47000122070312,125.33999633789062,115.37999725341797,120.68000030517578,120.68000030517578,2071500
2020-03-20,137.5800018310547,141.58999633789062,124.45999908447266,126.79000091552734,126.79000091552734,1701100
2020-03-19,127.26000213623047,137.8000030517578,119.9000015258789,135.0800018310547,135.0800018310547,1841100
2020-03-18,143.57000732421875,144.00999450683594,116.9800033569336,128.55999755859375,128.55999755859375,2301800
2020-03-17,156.36000061035156,159.1300048828125,148.10000610351562,155.16000366210938,155.16000366210938,1989500
2020-03-16,146.1699981689453,163.8300018310547,145.27000427246094,153.30999755859375,153.30999755859375,1858400
2020-03-13,157.8800048828125,166.35000610351562,152.27999877929688,166.17999267578125,166.17999267578125,2179400
2020-03-12,145.1300048828125,157.22999572753906,144.97000122070312,149.58999633789062,149.58999633789062,2491800
2020-03-11,157.44000244140625,164.4600067138672,156.2100067138672,159.08999633789062,159.08999633789062,1761000
2020-03-10,158.25999450683594,169.4499969482422,154.27999877929688,169.39999389648438,169.39999389648438,1722300
2020-03-09,156.4199981689453,165.4600067138672,151.4499969482422,152.63999938964844,152.63999938964844,2230900
2020-03-06,177.69000244140625,180.94000244140625,174.5,178.85000610351562,178.85000610351562,1321100
2020-03-05,185.52000427246094,189.55999755859375,182.75999450683594,183.39999389648438,183.39999389648438,1228100
2020-03-04,187.3699951171875,192.6699981689453,185.0,192.25,192.25,991400
2020-03-03,190.39999389648438,198.10000610351562,183.5800018310547,183.94000244140625,183.94000244140625,1629200
2020-03-02,184.6699981689453,191.07000732421875,183.27999877929688,190.58999633789062,190.58999633789062,1649800
2020-02-28,179.5800018310547,184.4199981689453,177.75,183.5,183.5,1587700
2020-02-27,189.88999938964844,195.0399932861328,186.11000061035156,186.1999969482422,186.1999969482422,1363500
2020-02-26,198.5800018310547,201.99000549316406,194.88999938964844,195.16000366210938,195.16000366210938,854900
2020-02-25,203.55999755859375,204.82000732421875,196.08999633789062,196.8699951171875,196.8699951171875,1120400
2020-02-24,200.94000244140625,203.3800048828125,199.8000030517578,202.75999450683594,202.75999450683594,1502400
2020-02-21,203.47000122070312,209.61000061035156,202.22000122070312,209.3699951171875,209.3699951171875,1162600
2020-02-20,200.1199951171875,205.42999267578125,199.67999267578125,205.30999755859375,205.30999755859375,893000
2020-02-19,199.69000244140625,200.5500030517578,197.1999969482422,200.36000061035156,200.36000061035156,678000
2020-02-18,199.4499969482422,199.9199981689453,197.07000732421875,198.74000549316406,198.74000549316406,560700
2020-02-14,200.63999938964844,201.24000549316406,198.64999389648438,200.67999267578125,200.67999267578125,455000
2020-02-13,204.5500030517578,205.91000366210938,200.6300048828125,201.14999389648438,200.12998962402344,572300
2020-02-12,205.6999969482422,206.4600067138672,203.77000427246094,205.85000610351562,204.80616760253906,614700
2020-02-11,204.44000244140625,205.8800048828125,203.5,203.9600067138672,202.92575073242188,534700
2020-02-10,201.86000061035156,203.9499969482422,201.4199981689453,203.82000732421875,202.78646850585938,500000
2020-02-07,203.6300048828125,204.2899932861328,202.07000732421875,202.72000122070312,201.69203186035156,583100
2020-02-06,206.44000244140625,206.44000244140625,203.64999389648438,205.02999877929688,203.99032592773438,491700
2020-02-05,204.92999267578125,205.92999267578125,203.41000366210938,205.27000427246094,204.22911071777344,762800
2020-02-04,198.66000366210938,203.0,198.66000366210938,202.38999938964844,201.36370849609375,843400
2020-02-03,192.85000610351562,197.16000366210938,192.49000549316406,194.55999755859375,193.5734100341797,1019900
2020-01-31,193.4499969482422,194.30999755859375,190.39999389648438,191.66000366210938,190.68812561035156,1250400
2020-01-30,194.38999938964844,196.35000610351562,189.75999450683594,194.80999755859375,193.8221435546875,1151100
2020-01-29,196.0,199.38999938964844,193.3300018310547,196.1699981689453,195.1752471923828,1163000
2020-01-28,195.8000030517578,197.44000244140625,194.16000366210938,196.6699981689453,195.67271423339844,1165300
2020-01-27,195.3300018310547,196.0800018310547,193.61000061035156,193.9199981689453,192.93666076660156,835600
