ticker,instrument,name,sector,industry,currency,created_date
ABC,stock,AmerisourceBergen Corp,Health Care,Health Care Distributors,USD,2020-10-21 02:46:36.159667
AME,stock,AMETEK Inc.,Industrials,Electrical Components & Equipment,USD,2020-10-21 02:46:36.159667
AMGN,stock,Amgen Inc.,Health Care,Biotechnology,USD,2020-10-21 02:46:36.159667
APH,stock,Amphenol Corp,Information Technology,Electronic Components,USD,2020-10-21 02:46:36.159667
ADI,stock,"Analog Devices, Inc.",Information Technology,Semiconductors,USD,2020-10-21 02:46:36.159667
ANSS,stock,ANSYS,Information Technology,Application Software,USD,2020-10-21 02:46:36.159667
ANTM,stock,Anthem,Health Care,Managed Health Care,USD,2020-10-21 02:46:36.159667
AON,stock,Aon plc,Financials,Insurance Brokers,USD,2020-10-21 02:46:36.159667
AOS,stock,A.O. Smith Corp,Industrials,Building Products,USD,2020-10-21 02:46:36.159667
APA,stock,Apache Corporation,Energy,Oil & Gas Exploration & Production,USD,2020-10-21 02:46:36.159667
AIV,stock,Apartment Investment & Management,Real Estate,Residential REITs,USD,2020-10-21 02:46:36.159667
AAPL,stock,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",USD,2020-10-21 02:46:36.159667
AMAT,stock,Applied Materials Inc.,Information Technology,Semiconductor Equipment,USD,2020-10-21 02:46:36.159667
APTV,stock,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,USD,2020-10-21 02:46:36.159667
ADM,stock,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,USD,2020-10-21 02:46:36.159667
ANET,stock,Arista Networks,Information Technology,Communications Equipment,USD,2020-10-21 02:46:36.159667
AJG,stock,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,USD,2020-10-21 02:46:36.159667
AIZ,stock,Assurant,Financials,Multi-line Insurance,USD,2020-10-21 02:46:36.159667
T,stock,AT&T Inc.,Communication Services,Integrated Telecommunication Services,USD,2020-10-21 02:46:36.159667
ATO,stock,Atmos Energy,Utilities,Gas Utilities,USD,2020-10-21 02:46:36.159667
ADSK,stock,Autodesk Inc.,Information Technology,Application Software,USD,2020-10-21 02:46:36.159667
ADP,stock,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,USD,2020-10-21 02:46:36.159667
AZO,stock,AutoZone Inc,Consumer Discretionary,Specialty Stores,USD,2020-10-21 02:46:36.159667
AVB,stock,AvalonBay Communities,Real Estate,Residential REITs,USD,2020-10-21 02:46:36.159667
AVY,stock,Avery Dennison Corp,Materials,Paper Packaging,USD,2020-10-21 02:46:36.159667
BKR,stock,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,USD,2020-10-21 02:46:36.159667
BLL,stock,Ball Corp,Materials,Metal & Glass Containers,USD,2020-10-21 02:46:36.159667
BAC,stock,Bank of America Corp,Financials,Diversified Banks,USD,2020-10-21 02:46:36.159667
BK,stock,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,USD,2020-10-21 02:46:36.159667
BAX,stock,Baxter International Inc.,Health Care,Health Care Equipment,USD,2020-10-21 02:46:36.159667
BDX,stock,Becton Dickinson,Health Care,Health Care Equipment,USD,2020-10-21 02:46:36.159667
BRK.B,stock,Berkshire Hathaway,Financials,Multi-Sector Holdings,USD,2020-10-21 02:46:36.159667
BBY,stock,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,USD,2020-10-21 02:46:36.159667
BIO,stock,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,USD,2020-10-21 02:46:36.159667
BIIB,stock,Biogen Inc.,Health Care,Biotechnology,USD,2020-10-21 02:46:36.159667
BLK,stock,BlackRock,Financials,Asset Management & Custody Banks,USD,2020-10-21 02:46:36.159667
BA,stock,Boeing Company,Industrials,Aerospace & Defense,USD,2020-10-21 02:46:36.159667
BKNG,stock,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,USD,2020-10-21 02:46:36.159667
BWA,stock,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,USD,2020-10-21 02:46:36.159667
BXP,stock,Boston Properties,Real Estate,Office REITs,USD,2020-10-21 02:46:36.159667
BSX,stock,Boston Scientific,Health Care,Health Care Equipment,USD,2020-10-21 02:46:36.159667
BMY,stock,Bristol-Myers Squibb,Health Care,Health Care Distributors,USD,2020-10-21 02:46:36.159667
AVGO,stock,Broadcom Inc.,Information Technology,Semiconductors,USD,2020-10-21 02:46:36.159667
BR,stock,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,USD,2020-10-21 02:46:36.159667
BF.B,stock,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,USD,2020-10-21 02:46:36.159667
CHRW,stock,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,USD,2020-10-21 02:46:36.159667
COG,stock,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,USD,2020-10-21 02:46:36.159667
CDNS,stock,Cadence Design Systems,Information Technology,Application Software,USD,2020-10-21 02:46:36.159667
